video sequence,BD-rate(piecewise_cubic)(%),BD-rate(cubic)(%),Delta_Y-PSNR(dB),Delta_U-PSNR(dB),Delta_V-PSNR(dB),Delta_time(%)
﻿Beauty_3840x2160,43.7,35.8,-0.163,1.498,3.177,-3.668
﻿Chimei-inn_3840x2160,25.8,25.8,0.04,3.238,3.321,-0.772
﻿Girlhood_3840x2160,19.2,19.2,-0.365,2.549,1.968,-24.698
﻿RaceNight_3840x2160,3.0,2.5,0.09,5.019,4.883,-63.655
﻿PeopleOnStreet_2560x1600,12.8,12.8,-0.29,4.355,4.75,-10.723
﻿Traffic_2560x1600,20.7,20.8,0.194,1.674,3.275,2.546
﻿BasketballDrive_1920x1080,21.9,21.8,-0.328,3.515,3.429,4.169
﻿BQTerrace_1920x1080,35.3,35.7,-0.009,4.535,6.244,31.943
﻿Cactus_1920x1080,14.2,14.4,0.019,2.488,3.935,10.836
﻿Kimono1_1920x1080,30.6,30.7,-0.168,2.395,3.177,-22.357
﻿ParkScene_1920x1080,18.0,18.0,0.164,3.22,4.013,17.603
﻿BasketballDrill_832x480,15.0,15.0,-0.436,2.359,2.154,-1.521
﻿BQMall_832x480,21.8,21.8,-0.042,3.705,4.284,9.684
﻿PartyScene_832x480,6.3,6.2,0.113,4.047,4.578,10.521
﻿RaceHorses_832x480,26.4,26.3,-0.304,2.793,3.825,-6.562
﻿BasketballPass_416x240,24.1,24.1,-0.241,3.505,2.482,0.221
﻿BlowingBubbles_416x240,12.7,12.7,0.425,4.19,4.641,42.024
﻿BQSquare_416x240,23.5,23.6,0.566,6.481,7.052,44.11
﻿RaceHorses_416x240,21.2,21.1,0.052,3.115,3.857,26.219
﻿FourPeople_1280x720,22.6,23.0,-0.001,3.631,4.403,12.314
﻿Johnny_1280x720,52.6,53.2,-0.13,4.018,4.345,17.395
﻿KristenAndSara_1280x720,40.5,40.7,-0.006,3.472,3.98,5.651
﻿BasketballDrillText_832x480,31.5,31.7,-0.465,2.013,1.911,1.345
﻿ChinaSpeed_1024x768,104.5,104.2,-1.625,3.792,3.037,-51.83
﻿SlideEditing_1280x720,21.7,21.9,-1.862,0.867,0.699,15.987
﻿SlideShow_1280x720,304.4,304.5,-6.16,3.23,4.173,-1.977
﻿Average:,37.5,37.2,-0.42,3.296,3.754,2.492
