video sequence,total frames,time(ms)
dec.mpeg4(anchor),6198,86.00
dec.mpeg4(ref),6198,86.70
﻿video sequence,total frames,time(ms)
dec.mpeg4(anchor),6198,85.81
dec.mpeg4(ref),6198,86.41
