video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
save_1280x720_30p_8b420_qp22(anchor),20,1594.03,55.373,63.53,64.538,68.94
save_1280x720_30p_8b420_qp22(ref),20,2004.77,60.354,67.321,66.996,3.94
save_1280x720_30p_8b420_qp27(anchor),20,1193.87,50.861,59.422,59.822,68.37
save_1280x720_30p_8b420_qp27(ref),20,1554.36,55.461,63.154,64.155,3.93
save_1280x720_30p_8b420_qp32(anchor),20,881.47,45.364,57.659,55.601,70.93
save_1280x720_30p_8b420_qp32(ref),20,1158.06,50.821,59.83,60.351,3.95
save_1280x720_30p_8b420_qp37(anchor),20,601.76,41.013,49.056,49.171,66.92
save_1280x720_30p_8b420_qp37(ref),20,824.99,46.377,50.173,49.753,3.84
