video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
Beauty_3840x2160_50_600_qp27(anchor),600,94624.20,36.480,38.629,40.369,252.101
Beauty_3840x2160_50_600_qp30(anchor),600,26963.49,35.124,37.691,39.704,127.932
Beauty_3840x2160_50_600_qp35(anchor),600,3819.30,34.193,36.884,39.020,90.09
Beauty_3840x2160_50_600_qp40(anchor),600,1590.02,32.711,36.565,38.421,82.645
﻿Chimei-inn_3840x2160_50_317_qp27(anchor),317,8007.26,42.048,46.080,46.368,76.942
Chimei-inn_3840x2160_50_317_qp30(anchor),317,5466.07,40.217,44.930,45.150,29.877
Chimei-inn_3840x2160_50_317_qp35(anchor),317,3036.61,36.921,42.706,42.675,27.281
Chimei-inn_3840x2160_50_317_qp40(anchor),317,1772.50,33.449,40.563,40.566,25.606
﻿Girlhood_3840x2160_50_235_qp27(anchor),235,20565.39,43.550,47.710,46.953,71.429
Girlhood_3840x2160_50_235_qp30(anchor),235,14280.18,41.548,46.514,45.737,68.513
Girlhood_3840x2160_50_235_qp35(anchor),235,8035.17,38.154,44.033,43.279,29.709
Girlhood_3840x2160_50_235_qp40(anchor),235,4876.08,34.529,41.734,40.979,26.95
﻿RaceNight_3840x2160_50_235_qp27(anchor),600,19438.11,36.492,43.937,43.643,184.049
RaceNight_3840x2160_50_235_qp30(anchor),600,10806.63,35.980,43.357,43.120,174.419
RaceNight_3840x2160_50_235_qp35(anchor),600,6019.84,34.606,41.996,41.664,76.923
RaceNight_3840x2160_50_235_qp40(anchor),600,3539.11,32.392,40.686,40.199,71.344
﻿PeopleOnStreet_2560x1600_30_crop_150_qp27(anchor),150,28244.14,37.454,42.555,42.985,24.55
PeopleOnStreet_2560x1600_30_crop_150_qp30(anchor),150,19375.98,35.744,41.771,42.326,13.441
PeopleOnStreet_2560x1600_30_crop_150_qp35(anchor),150,10746.63,32.949,40.351,41.052,11.802
PeopleOnStreet_2560x1600_30_crop_150_qp40(anchor),150,6108.93,30.116,39.077,39.801,10.239
﻿Traffic_2560x1600_30_crop_150_qp27(anchor),150,8765.31,38.539,39.223,41.512,18.428
Traffic_2560x1600_30_crop_150_qp30(anchor),150,5400.27,36.840,38.496,40.755,8.152
Traffic_2560x1600_30_crop_150_qp35(anchor),150,2608.77,33.998,37.368,39.609,7.065
Traffic_2560x1600_30_crop_150_qp40(anchor),150,1404.63,31.206,36.436,38.623,6.345
﻿BasketballDrive_1920x1080_50_500_qp27(anchor),501,8281.48,37.446,42.080,42.524,28.067
BasketballDrive_1920x1080_50_500_qp30(anchor),501,5160.66,36.231,41.443,41.616,17.836
BasketballDrive_1920x1080_50_500_qp35(anchor),501,2659.17,33.921,40.123,39.863,15.53
BasketballDrive_1920x1080_50_500_qp40(anchor),501,1482.53,31.142,38.743,38.330,13.851
﻿BQTerrace_1920x1080_60_600_qp27(anchor),601,9070.30,35.203,40.115,42.683,31.351
BQTerrace_1920x1080_60_600_qp30(anchor),601,3823.90,33.910,39.598,42.201,17.275
BQTerrace_1920x1080_60_600_qp35(anchor),601,1347.16,31.614,38.709,41.211,14.296
BQTerrace_1920x1080_60_600_qp40(anchor),601,624.77,29.193,37.905,40.233,12.947
﻿Cactus_1920x1080_50_500_qp27(anchor),500,6891.39,36.683,38.859,41.333,26.781
Cactus_1920x1080_50_500_qp30(anchor),500,4193.12,35.547,38.453,40.520,15.466
Cactus_1920x1080_50_500_qp35(anchor),500,2025.39,33.279,37.597,39.069,13.594
Cactus_1920x1080_50_500_qp40(anchor),500,1023.73,30.747,36.764,37.714,12.069
﻿Kimono1_1920x1080_24_240_qp27(anchor),240,5019.80,39.157,41.920,42.970,14.151
Kimono1_1920x1080_24_240_qp30(anchor),240,3315.34,37.705,41.305,42.291,8.242
Kimono1_1920x1080_24_240_qp35(anchor),240,1693.47,35.064,40.156,41.090,6.948
Kimono1_1920x1080_24_240_qp40(anchor),240,870.19,32.156,39.027,39.985,5.952
﻿ParkScene_1920x1080_24_240_qp27(anchor),240,6430.02,37.050,39.528,40.637,12.559
ParkScene_1920x1080_24_240_qp30(anchor),240,4023.05,35.334,38.763,39.989,7.417
ParkScene_1920x1080_24_240_qp35(anchor),240,1860.76,32.439,37.565,39.021,6.304
ParkScene_1920x1080_24_240_qp40(anchor),240,883.16,29.723,36.580,38.152,5.478
﻿BasketballDrill_832x480_50_500_qp27(anchor),501,1992.65,36.923,39.744,39.860,4.909
