video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
BasketballDrill_832x480_50_500_qp30(anchor),501,1332.25,35.179,38.709,38.697,3.256
BasketballDrill_832x480_50_500_qp35(anchor),501,681.03,32.525,37.013,36.822,2.757
BasketballDrill_832x480_50_500_qp40(anchor),501,372.52,30.070,35.626,35.216,2.409
﻿BQMall_832x480_60_600_qp27(anchor),601,1600.15,37.269,40.878,41.899,5.783
BQMall_832x480_60_600_qp30(anchor),601,1068.43,35.474,40.064,40.977,3.675
BQMall_832x480_60_600_qp35(anchor),601,553.40,32.458,38.664,39.424,3.2
BQMall_832x480_60_600_qp40(anchor),601,304.29,29.410,37.468,38.079,2.876
﻿PartyScene_832x480_50_500_qp27(anchor),501,3734.94,34.530,37.881,38.597,5.306
PartyScene_832x480_50_500_qp30(anchor),501,2362.75,32.372,36.909,37.616,3.574
PartyScene_832x480_50_500_qp35(anchor),501,1047.02,29.014,35.429,36.175,2.904
PartyScene_832x480_50_500_qp40(anchor),501,455.16,26.095,34.425,35.181,2.357
﻿RaceHorses_832x480_30_300_qp27(anchor),300,3918.12,36.551,38.567,40.213,3.742
RaceHorses_832x480_30_300_qp30(anchor),300,2531.53,34.666,37.649,39.313,2.768
RaceHorses_832x480_30_300_qp35(anchor),300,1224.23,31.625,36.056,37.687,2.289
RaceHorses_832x480_30_300_qp40(anchor),300,616.22,28.668,34.803,36.344,1.929
﻿BasketballPass_416x240_50_500_qp27(anchor),501,839.88,37.303,40.690,39.817,1.415
BasketballPass_416x240_50_500_qp30(anchor),501,584.03,35.345,39.676,38.613,0.98
BasketballPass_416x240_50_500_qp35(anchor),501,308.89,32.270,37.959,36.587,0.846
BasketballPass_416x240_50_500_qp40(anchor),501,164.15,29.408,36.513,34.988,0.718
﻿BlowingBubbles_416x240_50_500_qp27(anchor),501,794.91,34.529,37.622,38.081,1.245
BlowingBubbles_416x240_50_500_qp30(anchor),501,501.71,32.424,36.535,37.048,0.813
BlowingBubbles_416x240_50_500_qp35(anchor),501,224.05,29.171,34.894,35.516,0.657
BlowingBubbles_416x240_50_500_qp40(anchor),501,99.06,26.406,33.826,34.421,0.535
﻿BQSquare_416x240_60_600_qp27(anchor),601,844.26,34.331,40.034,40.817,1.461
BQSquare_416x240_60_600_qp30(anchor),601,489.24,32.160,39.415,40.080,0.949
BQSquare_416x240_60_600_qp35(anchor),601,182.54,28.840,38.518,38.981,0.721
BQSquare_416x240_60_600_qp40(anchor),601,73.72,25.901,37.770,38.025,0.573
﻿RaceHorses_416x240_30_300_qp27(anchor),300,1048.24,36.166,38.031,39.157,0.969
RaceHorses_416x240_30_300_qp30(anchor),300,711.07,34.100,37.011,38.105,0.72
RaceHorses_416x240_30_300_qp35(anchor),300,357.52,30.896,35.251,36.343,0.603
RaceHorses_416x240_30_300_qp40(anchor),300,179.89,28.157,33.914,34.933,0.489
﻿FourPeople_1280x720_60_600_qp27(anchor),600,775.45,40.113,44.718,45.878,9.597
FourPeople_1280x720_60_600_qp30(anchor),600,511.10,38.663,43.673,44.790,5.412
FourPeople_1280x720_60_600_qp35(anchor),600,270.28,35.851,42.052,42.974,5.115
FourPeople_1280x720_60_600_qp40(anchor),600,148.13,33.005,40.580,41.217,4.834
﻿Johnny_1280x720_60_600_qp27(anchor),600,435.23,40.590,46.207,46.763,9.355
Johnny_1280x720_60_600_qp30(anchor),600,262.38,39.234,45.120,45.551,5.202
Johnny_1280x720_60_600_qp35(anchor),600,127.31,36.651,43.275,43.640,4.912
Johnny_1280x720_60_600_qp40(anchor),600,71.23,34.167,41.539,41.508,4.727
﻿KristenAndSara_1280x720_60_600_qp27(anchor),600,657.04,40.923,45.394,46.296,9.831
KristenAndSara_1280x720_60_600_qp30(anchor),600,419.49,39.523,44.330,45.125,5.593
KristenAndSara_1280x720_60_600_qp35(anchor),600,213.37,36.758,42.414,43.054,5.226
KristenAndSara_1280x720_60_600_qp40(anchor),600,117.54,33.827,40.770,41.080,4.924
﻿BasketballDrillText_832x480_50_500_qp27(anchor),501,2119.69,36.955,39.244,39.448,4.83
BasketballDrillText_832x480_50_500_qp30(anchor),501,1437.49,35.141,38.088,38.170,3.223
BasketballDrillText_832x480_50_500_qp35(anchor),501,743.76,32.289,36.157,36.103,2.74
BasketballDrillText_832x480_50_500_qp40(anchor),501,409.67,29.597,34.662,34.447,2.405
﻿ChinaSpeed_1024x768_30_300_qp27(anchor),500,4817.72,38.713,42.571,42.373,10.804
ChinaSpeed_1024x768_30_300_qp30(anchor),500,3317.41,36.558,41.297,40.920,7.367
ChinaSpeed_1024x768_30_300_qp35(anchor),500,1679.60,33.005,39.255,38.468,5.919
ChinaSpeed_1024x768_30_300_qp40(anchor),500,786.02,29.609,37.636,36.514,4.816
﻿SlideEditing_1280x720_30_300_qp27(anchor),300,621.34,41.355,42.324,42.098,3.25
SlideEditing_1280x720_30_300_qp30(anchor),300,522.77,38.715,40.707,40.527,1.466
SlideEditing_1280x720_30_300_qp35(anchor),300,372.00,34.269,38.829,38.459,1.387
SlideEditing_1280x720_30_300_qp40(anchor),300,262.21,29.948,37.423,36.969,1.371
﻿SlideShow_1280x720_20_500_qp27(anchor),500,1064.98,44.651,48.136,49.149,6.091
SlideShow_1280x720_20_500_qp30(anchor),500,813.65,42.237,46.633,47.707,3.449
SlideShow_1280x720_20_500_qp35(anchor),500,508.39,38.663,43.241,44.645,3.309
SlideShow_1280x720_20_500_qp40(anchor),500,320.81,34.684,40.775,42.655,3.182
