video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
Beauty_3840x2160_br58000(anchor),600,58524.81,35.654,37.981,39.931,86.229
Beauty_3840x2160_br14700(anchor),600,14694.95,34.759,37.302,39.421,60.937
Beauty_3840x2160_br2000(anchor),600,700.83,30.24,36.065,37.617,35.914
Beauty_3840x2160_br1000(anchor),600,390.09,27.967,35.636,36.994,35.786
Chimei-inn_3840x2160_br7600(anchor),317,7042.19,38.561,43.976,44.19,24.044
Chimei-inn_3840x2160_br4800(anchor),317,4155.78,36.029,42.71,42.926,22.718
Chimei-inn_3840x2160_br2300(anchor),317,1904.75,30.524,40.277,40.385,20.283
Chimei-inn_3840x2160_br1200(anchor),317,1007.62,26.496,38.166,37.961,19.467
Girlhood_3840x2160_br17700(anchor),235,16964.62,40.492,46.223,45.247,25.107
Girlhood_3840x2160_br12000(anchor),235,11518.17,38.549,45.009,44.012,22.305
Girlhood_3840x2160_br6000(anchor),235,5675.22,34.045,42.628,41.605,18.433
Girlhood_3840x2160_br3200(anchor),235,2964.21,27.513,38.865,37.605,17.168
RaceNight_3840x2160_50fps_8bit_br14800(anchor),600,14577.86,35.943,43.109,42.798,55.808
RaceNight_3840x2160_50fps_8bit_br8500(anchor),600,7963.56,35.085,42.351,42.053,49.52
RaceNight_3840x2160_50fps_8bit_br4300(anchor),600,3906.31,32.479,40.853,40.408,43.237
RaceNight_3840x2160_50fps_8bit_br2400(anchor),600,2064.06,28.675,39.249,38.593,39.386
PeopleOnStreet_2560x1600_30_crop_br10100(anchor),150,10405.4,31.623,39.855,40.728,7.626
PeopleOnStreet_2560x1600_30_crop_br8500(anchor),150,8752.72,30.724,39.562,40.433,7.363
PeopleOnStreet_2560x1600_30_crop_br4300(anchor),150,4425.86,27.073,38.428,39.306,6.148
PeopleOnStreet_2560x1600_30_crop_br2400(anchor),150,2468.78,23.83,37.483,38.32,5.128
Traffic_2560x1600_30_crop_br31000(anchor),150,31648.7,41.403,40.783,42.614,9.163
Traffic_2560x1600_30_crop_br20800(anchor),150,21052.42,40.278,39.916,41.843,8.58
Traffic_2560x1600_30_crop_br10700(anchor),150,10446.39,38.026,38.59,40.651,7.163
Traffic_2560x1600_30_crop_br5800(anchor),150,5431.33,35.448,37.535,39.669,5.778
BasketballDrive_1920x1080_50_br8300(anchor),501,8325.86,36.54,41.253,41.261,13.481
BasketballDrive_1920x1080_50_br5000(anchor),501,5015.85,35.213,40.654,40.387,11.024
BasketballDrive_1920x1080_50_br2300(anchor),501,2301.69,32.328,39.551,38.932,9.212
BasketballDrive_1920x1080_50_br1100(anchor),501,1093.59,28.392,38.061,37.474,8.132
BQTerrace_1920x1080_60_br14000(anchor),601,14134.17,34.63,39.468,42.08,17.607
BQTerrace_1920x1080_60_br5100(anchor),601,5069.85,33.235,38.98,41.62,12.682
BQTerrace_1920x1080_60_br1300(anchor),601,1230.55,29.512,37.871,40.303,9.165
BQTerrace_1920x1080_60_br500(anchor),601,404.39,23.071,36.257,38.396,8.214
Cactus_1920x1080_50_br7600(anchor),500,7585.76,35.848,38.312,40.164,11.531
Cactus_1920x1080_50_br4300(anchor),500,4273.31,34.296,37.748,39.267,10.784
Cactus_1920x1080_50_br1900(anchor),500,1863.59,31.276,36.845,37.816,8.916
Cactus_1920x1080_50_br900(anchor),500,866.43,28.113,36.049,36.631,7.599
Kimono1_1920x1080_24_br5000(anchor),240,4626.72,38.004,41.265,42.005,5.517
Kimono1_1920x1080_24_br3300(anchor),240,3036.2,36.51,40.664,41.411,5.137
Kimono1_1920x1080_24_br1600(anchor),240,1446.6,33.418,39.585,40.382,4.007
Kimono1_1920x1080_24_br800(anchor),240,701.04,29.031,38.083,39.152,3.789
ParkScene_1920x1080_24_br7500(anchor),240,7473.15,36.556,38.825,39.894,6.03
ParkScene_1920x1080_24_br4400(anchor),240,4293.21,34.572,37.989,39.276,5.115
ParkScene_1920x1080_24_br1800(anchor),240,1704.59,31.016,36.857,38.382,3.933
ParkScene_1920x1080_24_br700(anchor),240,657.93,26.989,35.651,37.414,3.389
BasketballDrill_832x480_50_br2000(anchor),501,2020.45,35.666,38.175,38.201,2.728
BasketballDrill_832x480_50_br1300(anchor),501,1314.06,33.769,37.169,37.091,2.177
BasketballDrill_832x480_50_br600(anchor),501,606.82,30.671,35.819,35.477,1.72
BasketballDrill_832x480_50_br300(anchor),501,301.64,27.492,34.732,34.29,1.472
BQMall_832x480_60_br1800(anchor),601,1777.72,36.35,40.065,40.993,2.532
BQMall_832x480_60_br1100(anchor),601,1077.99,34.294,39.162,40.039,2.603
BQMall_832x480_60_br500(anchor),601,484.54,30.724,37.876,38.641,2.068
BQMall_832x480_60_br200(anchor),601,193.12,25.592,36.28,36.816,1.572
PartyScene_832x480_50_br4700(anchor),501,4606.75,33.728,37.047,37.644,3.35
PartyScene_832x480_50_br2800(anchor),501,2738.1,31.313,36.015,36.613,3.029
PartyScene_832x480_50_br1100(anchor),501,1075.05,27.618,34.743,35.388,2.056
PartyScene_832x480_50_br400(anchor),501,386.81,24.174,33.836,34.535,1.43
RaceHorses_832x480_30_br4400(anchor),300,4191.86,36.145,38.24,39.91,2.223
RaceHorses_832x480_30_br2800(anchor),300,2688.12,34.282,37.209,38.917,1.953
RaceHorses_832x480_30_br1200(anchor),300,1178.18,30.775,35.692,37.318,1.507
RaceHorses_832x480_30_br500(anchor),300,498.84,27.035,34.333,35.859,1.145
BasketballPass_416x240_50_br900(anchor),501,906.02,37.112,40.047,39.252,0.547
BasketballPass_416x240_50_br600(anchor),501,606.19,34.962,38.873,37.822,0.529
BasketballPass_416x240_50_br300(anchor),501,304.24,31.576,37.374,36.007,0.453
BasketballPass_416x240_50_br100(anchor),501,100.91,26.188,35.323,33.642,0.044
BlowingBubbles_416x240_50_br1000(anchor),501,1018.15,33.98,36.849,37.238,0.569
BlowingBubbles_416x240_50_br600(anchor),501,612.07,31.746,35.739,36.139,0.522
BlowingBubbles_416x240_50_br200(anchor),501,200.31,27.534,34.094,34.575,0.146
BlowingBubbles_416x240_50_br100(anchor),501,98.3,25.153,33.423,33.946,0.094
BQSquare_416x240_60_br1100(anchor),601,1107.1,33.024,39.028,39.71,0.636
BQSquare_416x240_60_br600(anchor),601,600.63,30.496,38.467,38.988,0.62
BQSquare_416x240_60_br200(anchor),601,196.81,26.698,37.748,38.096,0.071
BQSquare_416x240_60_br70(anchor),601,66.91,23.409,37.124,37.233,0.05
RaceHorses_416x240_30_br1100(anchor),300,1095.05,35.623,37.341,38.487,0.448
RaceHorses_416x240_30_br800(anchor),300,798.41,33.991,36.404,37.572,0.336
RaceHorses_416x240_30_br300(anchor),300,300.15,29.439,34.343,35.48,0.303
RaceHorses_416x240_30_br100(anchor),300,97.38,24.152,32.226,33.136,0.034
FourPeople_1280x720_60_br800(anchor),600,742.46,37.236,42.381,43.538,3.856
FourPeople_1280x720_60_br500(anchor),600,448.65,34.815,41.255,42.267,3.557
FourPeople_1280x720_60_br200(anchor),600,116.48,28.355,38.887,39.413,3.21
FourPeople_1280x720_60_br100(anchor),600,54.99,25.339,36.994,37.596,3.095
Johnny_1280x720_60_br500(anchor),600,451.2,37.966,43.482,44.026,3.505
Johnny_1280x720_60_br250(anchor),600,86.69,31.902,40.553,40.743,2.984
Johnny_1280x720_60_br100(anchor),600,32.37,28.196,37.867,39.374,2.985
Johnny_1280x720_60_br60(anchor),600,27.2,26.522,34.948,35.704,3.062
KristenAndSara_1280x720_60_br700(anchor),600,666.79,37.824,42.834,43.826,3.644
KristenAndSara_1280x720_60_br400(anchor),600,349.88,34.783,41.411,42.413,3.483
KristenAndSara_1280x720_60_br200(anchor),600,113.85,29.33,39.12,39.956,3.253
KristenAndSara_1280x720_60_br100(anchor),600,55.57,26.405,36.7,37.73,3.17
BasketballDrillText_832x480_50_br2200(anchor),501,2225.8,35.644,37.546,37.688,2.785
BasketballDrillText_832x480_50_br1500(anchor),501,1518.46,33.796,36.491,36.599,2.268
BasketballDrillText_832x480_50_br700(anchor),501,709.2,30.353,34.931,34.825,1.855
BasketballDrillText_832x480_50_br300(anchor),501,302.54,25.992,33.406,33.295,1.277
ChinaSpeed_1024x768_30_br5400(anchor),500,5334.92,36.18,40.43,39.556,5.739
ChinaSpeed_1024x768_30_br3700(anchor),500,3636.85,33.803,39.367,38.189,5.246
ChinaSpeed_1024x768_30_br1700(anchor),500,1666.56,29.507,37.734,36.222,3.876
ChinaSpeed_1024x768_30_br700(anchor),500,679.06,25.375,36.522,34.737,2.754
SlideEditing_1280x720_30_br700(anchor),300,562.09,28.513,37.12,36.523,1.495
SlideEditing_1280x720_30_br500(anchor),300,406.54,25.512,36.349,35.754,1.423
SlideEditing_1280x720_30_br400(anchor),300,320.48,23.783,35.882,35.369,1.457
SlideEditing_1280x720_30_br200(anchor),300,154.55,19.479,34.176,34.07,1.452
SlideShow_1280x720_20_br1200(anchor),500,1045.34,42.4,47.015,47.987,3.184
SlideShow_1280x720_20_br900(anchor),500,789.51,40.05,45.519,46.601,2.996
SlideShow_1280x720_20_br500(anchor),500,446.63,35.325,42.98,44.354,2.828
SlideShow_1280x720_20_br300(anchor),500,268.46,31.217,41.186,42.642,2.575
