video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
﻿BasketballPass_416x240_50_500_qp27(anchor),501,540.9705,38.3668,42.6826,41.4224,224.077
BasketballPass_416x240_50_500_qp32(anchor),501,265.8596,34.8506,40.3066,38.6363,166.252
BasketballPass_416x240_50_500_qp38(anchor),501,110.8680,31.1490,37.5889,35.4154,109.244
BasketballPass_416x240_50_500_qp45(anchor),501,42.6084,27.7997,37.3432,34.8971,64.706
﻿BlowingBubbles_416x240_50_500_qp27(anchor),501,424.3133,35.1303,39.2766,40.2387,170.037
BlowingBubbles_416x240_50_500_qp32(anchor),501,190.3760,31.9211,37.0123,37.8859,115.554
BlowingBubbles_416x240_50_500_qp38(anchor),501,69.5717,28.4267,34.5165,35.3304,71.199
BlowingBubbles_416x240_50_500_qp45(anchor),501,21.6613,25.0999,34.2857,35.0885,41.898
﻿BQSquare_416x240_60_600_qp27(anchor),601,257.6937,34.3393,41.4564,42.6452,136.349
BQSquare_416x240_60_600_qp32(anchor),601,109.8972,31.4050,39.6470,40.8539,87.57
BQSquare_416x240_60_600_qp38(anchor),601,46.1183,28.1471,38.0279,38.8151,55.653
BQSquare_416x240_60_600_qp45(anchor),601,18.3414,24.4883,38.3883,38.7577,37.097
﻿RaceHorses_416x240_30_300_qp27(anchor),300,635.3112,36.4918,39.4142,40.7182,157.425
RaceHorses_416x240_30_300_qp32(anchor),300,304.3672,32.9814,37.0269,38.2917,114.739
RaceHorses_416x240_30_300_qp38(anchor),300,121.8472,29.3513,34.4225,35.4764,72.187
RaceHorses_416x240_30_300_qp45(anchor),300,43.7768,26.3272,32.2317,33.1005,39.273
﻿FourPeople_1280x720_60_600_qp27(anchor),600,596.0576,41.9010,46.5843,48.0293,745.747
FourPeople_1280x720_60_600_qp32(anchor),600,289.3412,39.7596,44.8454,46.2133,497.839
FourPeople_1280x720_60_600_qp38(anchor),600,137.9332,36.5370,42.6059,43.7680,343.338
FourPeople_1280x720_60_600_qp45(anchor),600,65.6896,33.1763,40.5654,41.5907,231.217
﻿Johnny_1280x720_60_600_qp27(anchor),600,380.9136,42.5169,48.3764,49.2000,638.246
Johnny_1280x720_60_600_qp32(anchor),600,149.5100,41.0202,46.9655,47.7568,397.793
Johnny_1280x720_60_600_qp38(anchor),600,68.5476,38.6354,44.6940,45.4848,259.783
Johnny_1280x720_60_600_qp45(anchor),600,33.4524,35.8452,42.5175,43.3303,161.72
﻿KristenAndSara_1280x720_60_600_qp27(anchor),600,598.6732,42.6900,47.5324,48.5403,823.725
KristenAndSara_1280x720_60_600_qp32(anchor),600,252.4960,40.8247,45.8834,46.9324,520.476
KristenAndSara_1280x720_60_600_qp38(anchor),600,112.3028,37.9578,43.6896,44.7151,341.481
KristenAndSara_1280x720_60_600_qp45(anchor),600,49.8920,34.9823,41.5255,42.5432,205.602
﻿BasketballDrillText_832x480_50_500_qp27(anchor),501,959.0764,38.1257,41.0201,41.3324,669.484
BasketballDrillText_832x480_50_500_qp32(anchor),501,472.3875,34.9713,38.4702,38.6191,475.191
BasketballDrillText_832x480_50_500_qp38(anchor),501,203.1195,31.4448,35.6955,35.5547,311.284
BasketballDrillText_832x480_50_500_qp45(anchor),501,81.1478,28.2024,33.5335,33.1114,183.15
﻿ChinaSpeed_1024x768_30_500_qp27(anchor),500,2502.7368,37.9234,43.4406,42.7698,1380.27
ChinaSpeed_1024x768_30_500_qp32(anchor),500,1122.8136,34.1690,41.1179,39.7357,932.354
ChinaSpeed_1024x768_30_500_qp38(anchor),500,388.4544,30.2294,38.4251,36.7046,568.598
ChinaSpeed_1024x768_30_500_qp45(anchor),500,120.2525,27.2153,36.1769,34.7849,310.159
﻿SlideEditing_1280x720_30_300_qp27(anchor),300,452.3472,39.9371,40.0210,41.0460,178.602
SlideEditing_1280x720_30_300_qp32(anchor),300,321.2896,34.9323,38.4281,39.5126,157.153
SlideEditing_1280x720_30_300_qp38(anchor),300,186.1456,28.8446,36.6409,37.0119,136.632
SlideEditing_1280x720_30_300_qp45(anchor),300,78.5480,22.9014,34.6839,34.6614,111.877
﻿SlideShow_1280x720_20_500_qp27(anchor),500,542.1672,46.8640,51.1988,52.5463,397.828
SlideShow_1280x720_20_500_qp32(anchor),500,323.5949,42.9492,48.3863,49.8859,323.61
SlideShow_1280x720_20_500_qp38(anchor),500,176.5277,38.2846,45.3548,47.1337,262.049
SlideShow_1280x720_20_500_qp45(anchor),500,99.9466,35.0196,42.5240,44.8239,207.001
