video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
﻿RaceHorses_832x480_30_300_qp27(anchor),300,3569.08,36.7895533333,37.3370133333,37.70836,16.10
RaceHorses_832x480_30_300_qp30(anchor),300,2231.56,34.9301,35.6307466667,36.0374333333,13.30
RaceHorses_832x480_30_300_qp35(anchor),300,994.55,31.8134733333,32.7930266667,33.2256066667,10.00
RaceHorses_832x480_30_300_qp40(anchor),300,426.32,28.9261433333,30.2111833333,30.58587,7.63
﻿BasketballPass_416x240_50_500_qp27(anchor),501,740.60,37.6573293413,38.6303113772,38.4690538922,5.62
BasketballPass_416x240_50_500_qp30(anchor),501,509.07,35.7112694611,36.837508982,36.6467305389,4.91
BasketballPass_416x240_50_500_qp35(anchor),501,254.57,32.5609760479,33.9161736527,33.650760479,3.86
BasketballPass_416x240_50_500_qp40(anchor),501,122.96,29.6376826347,31.2717664671,30.8968922156,2.97
﻿BlowingBubbles_416x240_50_500_qp27(anchor),501,684.43,34.7278742515,35.7116586826,35.8658263473,4.47
BlowingBubbles_416x240_50_500_qp30(anchor),501,430.84,32.622760479,33.8223053892,33.9738263473,3.64
BlowingBubbles_416x240_50_500_qp35(anchor),501,186.22,29.2743413174,30.8318502994,30.9701017964,2.64
BlowingBubbles_416x240_50_500_qp40(anchor),501,76.31,26.4455568862,28.279497006,28.4175928144,1.98
﻿BQSquare_416x240_60_600_qp27(anchor),601,584.51,34.7715058236,36.3149034942,36.5355856905,5.18
BQSquare_416x240_60_600_qp30(anchor),601,323.60,32.6268935108,34.4934708819,34.7008419301,3.69
BQSquare_416x240_60_600_qp35(anchor),601,118.91,29.1449034942,31.5811497504,31.7806023295,2.37
BQSquare_416x240_60_600_qp40(anchor),601,51.26,25.8814475874,28.8935890183,29.0349800333,1.77
﻿RaceHorses_416x240_30_300_qp27(anchor),300,945.81,36.2679433333,36.8371566667,37.1314633333,4.23
RaceHorses_416x240_30_300_qp30(anchor),300,629.61,34.20519,34.9669633333,35.2596666667,3.61
RaceHorses_416x240_30_300_qp35(anchor),300,294.09,30.9196433333,31.9397766667,32.2072566667,2.66
RaceHorses_416x240_30_300_qp40(anchor),300,130.37,28.21712,29.40943,29.6318033333,1.95
﻿FourPeople_1280x720_60_600_qp27(anchor),600,638.11,40.76178,41.8325816667,42.1311866667,16.76
FourPeople_1280x720_60_600_qp30(anchor),600,421.10,39.4278733333,40.5509633333,40.8426283333,14.79
FourPeople_1280x720_60_600_qp35(anchor),600,218.89,36.78692,38.098515,38.370645,12.58
FourPeople_1280x720_60_600_qp40(anchor),600,117.17,33.8873233333,35.5489616667,35.7782233333,11.10
﻿Johnny_1280x720_60_600_qp27(anchor),600,318.21,41.3863666667,42.7277266667,42.8783816667,13.56
Johnny_1280x720_60_600_qp30(anchor),600,187.05,40.285745,41.6610183333,41.8167866667,11.94
Johnny_1280x720_60_600_qp35(anchor),600,92.28,38.12411,39.5940583333,39.7221633333,10.18
Johnny_1280x720_60_600_qp40(anchor),600,51.24,35.66622,37.3239366667,37.4583683333,9.23
﻿KristenAndSara_1280x720_60_600_qp27(anchor),600,491.02,41.5831033333,42.633305,42.8482216667,16.63
KristenAndSara_1280x720_60_600_qp30(anchor),600,305.69,40.372395,41.4665183333,41.686015,14.45
KristenAndSara_1280x720_60_600_qp35(anchor),600,152.84,37.9546883333,39.1752616667,39.4091166667,12.22
KristenAndSara_1280x720_60_600_qp40(anchor),600,82.33,35.233505,36.709005,36.952055,10.66
﻿BasketballDrillText_832x480_50_500_qp27(anchor),501,1720.73,37.6702275449,38.430251497,38.5091616766,16.85
BasketballDrillText_832x480_50_500_qp30(anchor),501,1175.49,35.9207964072,36.7865808383,36.8363892216,14.72
BasketballDrillText_832x480_50_500_qp35(anchor),501,596.64,33.0793173653,34.0721556886,34.0818922156,11.71
BasketballDrillText_832x480_50_500_qp40(anchor),501,301.04,30.3365748503,31.4922874251,31.4785748503,9.34
﻿ChinaSpeed_1024x768_30_300_qp27(anchor),500,4525.14,38.815588,39.821222,39.85199,37.65
ChinaSpeed_1024x768_30_300_qp30(anchor),500,3032.91,36.770062,37.912072,37.943722,32.40
ChinaSpeed_1024x768_30_300_qp35(anchor),500,1412.32,33.46512,34.874614,34.793008,24.51
ChinaSpeed_1024x768_30_300_qp40(anchor),500,594.15,30.424994,32.158316,31.96038,18.14
﻿SlideEditing_1280x720_30_300_qp27(anchor),300,665.71,43.5199,43.3949566667,43.3541033333,5.79
SlideEditing_1280x720_30_300_qp30(anchor),300,551.73,40.7979633333,40.8645066667,40.81656,5.52
SlideEditing_1280x720_30_300_qp35(anchor),300,391.76,35.97331,36.7218066667,36.6458266667,5.28
SlideEditing_1280x720_30_300_qp40(anchor),300,258.95,31.1755333333,32.77741,32.6335566667,5.08
﻿SlideShow_1280x720_20_500_qp27(anchor),500,1091.79,45.474946,46.465428,46.764278,15.77
SlideShow_1280x720_20_500_qp30(anchor),500,834.80,43.277382,44.394996,44.716582,14.81
SlideShow_1280x720_20_500_qp35(anchor),500,510.29,39.43482,40.79623,41.156256,13.49
SlideShow_1280x720_20_500_qp40(anchor),500,302.12,35.516096,37.24527,37.665386,12.51
