video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
BQSquare_416x240_60_br200(anchor),601,237.222,30.083,39.355,40.198,14.851
BQSquare_416x240_60_br70(anchor),601,91.353,26.934,37.692,38.125,9.498
RaceHorses_416x240_30_br1100(anchor),300,1039.385,36.591,39.554,40.634,14.551
RaceHorses_416x240_30_br800(anchor),300,781.75,35.065,38.461,39.508,13.478
RaceHorses_416x240_30_br300(anchor),300,308.273,31.175,35.477,36.491,11.671
RaceHorses_416x240_30_br100(anchor),300,106.381,27.499,32.337,33.285,5.999
?FourPeople_1280x720_60_br800(anchor),600,870.734,40.645,45.296,46.51,64.639
FourPeople_1280x720_60_br500(anchor),600,562.39,39.42,44.304,45.437,55.041
FourPeople_1280x720_60_br200(anchor),600,238.675,36.134,41.645,42.621,45.093
FourPeople_1280x720_60_br100(anchor),600,127.764,33.259,39.47,40.219,38.993
Johnny_1280x720_60_br500(anchor),600,559.526,41.334,46.766,47.378,57.764
Johnny_1280x720_60_br250(anchor),600,298.312,40.207,45.649,46.308,46.97
Johnny_1280x720_60_br100(anchor),600,124.521,37.702,43.058,43.769,36.192
Johnny_1280x720_60_br60(anchor),600,78.529,36,41.414,42.113,31.517
KristenAndSara_1280x720_60_br700(anchor),600,761.117,41.594,46.155,47.063,62.419
KristenAndSara_1280x720_60_br400(anchor),600,451.408,40.398,45.08,45.998,51.852
KristenAndSara_1280x720_60_br200(anchor),600,242.093,38.551,43.465,44.385,42.615
KristenAndSara_1280x720_60_br100(anchor),600,128.254,36.017,41.236,42.175,35.615
BasketballDrillText_832x480_50_br2200(anchor),501,2151.593,38.415,41.723,41.971,59.343
BasketballDrillText_832x480_50_br1500(anchor),501,1561.663,37.018,40.516,40.605,51.897
BasketballDrillText_832x480_50_br700(anchor),501,752.179,34.138,37.842,37.569,41.501
BasketballDrillText_832x480_50_br300(anchor),501,340.876,31.385,35.267,34.888,36.875
ChinaSpeed_1024x768_30_br5400(anchor),500,4796.748,39.825,44.381,44.389,102.514
ChinaSpeed_1024x768_30_br3700(anchor),500,3387.229,37.881,42.964,42.976,88.875
ChinaSpeed_1024x768_30_br1700(anchor),500,1676.255,34.597,40.694,40.464,72.904
ChinaSpeed_1024x768_30_br700(anchor),500,752.628,31.608,38.653,37.842,66.252
SlideEditing_1280x720_30_br700(anchor),300,859.908,44.98,45.33,45.211,29.043
SlideEditing_1280x720_30_br500(anchor),300,694.695,42.846,43.405,43.336,27.231
SlideEditing_1280x720_30_br400(anchor),300,642.27,41.687,42.427,42.325,25.602
SlideEditing_1280x720_30_br200(anchor),300,492.439,37.898,40.097,39.995,21.996
SlideShow_1280x720_20_br1200(anchor),500,745.599,44.254,49.073,50.508,36.539
SlideShow_1280x720_20_br900(anchor),500,616.324,42.762,47.84,49.346,34.55
SlideShow_1280x720_20_br500(anchor),500,406.227,39.651,45.131,46.776,32.439
SlideShow_1280x720_20_br300(anchor),500,295.38,37.305,43.054,44.76,30.036
