video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
BasketballPass_416x240_50_500_qp32(anchor),500,547.17,35.05582,39.74989,38.57199,4.676
BasketballPass_416x240_50_500_qp38(anchor),500,298.43,32.25205,37.59342,36.20903,3.887
BasketballPass_416x240_50_500_qp45(anchor),500,145.14,29.48484,35.40345,33.78001,3.201
﻿BlowingBubbles_416x240_50_500_qp27(anchor),500,929.59,35.29294,39.45532,40.13533,5.729
BlowingBubbles_416x240_50_500_qp32(anchor),500,499.87,32.64315,37.44887,38.03119,4.735
BlowingBubbles_416x240_50_500_qp38(anchor),500,242.10,29.86696,35.34434,35.91834,3.824
BlowingBubbles_416x240_50_500_qp45(anchor),500,99.21,26.96618,33.15769,33.70666,3.267
﻿BQSquare_416x240_60_600_qp27(anchor),600,751.15,35.02510,41.53867,42.46065,5.994
BQSquare_416x240_60_600_qp32(anchor),600,396.20,32.68499,40.06380,40.96950,4.665
BQSquare_416x240_60_600_qp38(anchor),600,188.89,29.98440,38.55605,39.35833,3.811
BQSquare_416x240_60_600_qp45(anchor),600,85.46,26.99246,37.04739,37.47205,3.071
﻿RaceHorses_416x240_30_300_qp27(anchor),300,1234.63,36.63665,39.57372,40.67784,4.772
RaceHorses_416x240_30_300_qp32(anchor),300,697.68,33.82765,37.45744,38.56667,4.274
RaceHorses_416x240_30_300_qp38(anchor),300,364.69,31.01076,35.36253,36.37713,3.853
RaceHorses_416x240_30_300_qp45(anchor),300,169.99,28.34246,33.22049,34.03820,2.512
﻿FourPeople_1280x720_60_600_qp27(anchor),600,831.59,40.77087,45.38310,46.55574,18.963
FourPeople_1280x720_60_600_qp32(anchor),600,475.19,39.19267,43.78047,44.92599,15.150
FourPeople_1280x720_60_600_qp38(anchor),600,274.97,36.96734,41.78001,42.77868,14.083
FourPeople_1280x720_60_600_qp45(anchor),600,152.19,33.92880,39.61130,40.47269,13.512
﻿Johnny_1280x720_60_600_qp27(anchor),600,466.65,41.32780,47.00388,47.56656,16.963
Johnny_1280x720_60_600_qp32(anchor),600,240.17,40.00860,45.64397,46.22847,12.840
Johnny_1280x720_60_600_qp38(anchor),600,139.73,38.11953,43.70028,44.17237,11.967
Johnny_1280x720_60_600_qp45(anchor),600,86.21,35.48810,41.03000,41.28986,11.020
﻿KristenAndSara_1280x720_60_600_qp27(anchor),600,709.68,41.60313,46.19246,46.97554,15.832
KristenAndSara_1280x720_60_600_qp32(anchor),600,385.30,40.14404,44.71219,45.48390,14.327
KristenAndSara_1280x720_60_600_qp38(anchor),600,218.12,38.08509,42.67978,43.46489,13.638
KristenAndSara_1280x720_60_600_qp45(anchor),600,127.60,35.28636,40.28814,40.89241,12.435
﻿BasketballDrillText_832x480_50_500_qp27(anchor),500,2044.34,37.39170,40.85463,41.09527,16.677
BasketballDrillText_832x480_50_500_qp32(anchor),500,1240.98,35.19196,38.58952,38.57763,14.797
BasketballDrillText_832x480_50_500_qp38(anchor),500,745.01,32.69462,36.01702,35.86834,12.013
BasketballDrillText_832x480_50_500_qp45(anchor),500,370.49,29.86679,33.37352,33.00993,9.648
﻿ChinaSpeed_1024x768_30_300_qp27(anchor),300,6505.30,37.45455,43.34708,42.95747,17.873
ChinaSpeed_1024x768_30_300_qp32(anchor),300,3959.09,34.82369,41.16324,40.55032,14.441
ChinaSpeed_1024x768_30_300_qp38(anchor),300,1894.58,31.72098,38.88173,38.03123,11.678
ChinaSpeed_1024x768_30_300_qp45(anchor),300,744.24,28.97749,36.54087,35.15926,9.613
﻿SlideEditing_1280x720_30_300_qp27(anchor),300,707.84,41.27578,43.13858,42.92746,6.125
SlideEditing_1280x720_30_300_qp32(anchor),300,566.55,38.55052,40.21011,40.20183,5.981
SlideEditing_1280x720_30_300_qp38(anchor),300,432.77,34.59358,37.97022,37.66060,6.169
SlideEditing_1280x720_30_300_qp45(anchor),300,256.51,29.59976,35.90759,35.45579,6.755
﻿SlideShow_1280x720_20_500_qp27(anchor),500,1621.08,36.43442,49.75146,50.87108,14.283
SlideShow_1280x720_20_500_qp32(anchor),500,1136.02,35.68015,47.28003,48.31324,13.797
SlideShow_1280x720_20_500_qp38(anchor),500,733.67,34.50046,43.90127,45.35998,13.314
SlideShow_1280x720_20_500_qp45(anchor),500,421.03,32.44913,40.88881,42.44921,13.719
